-,,ܕܝܢ,syriac,entry #4405; particle; transliterations are DRAFT v0 (unvetted),,ܕܝܢ,particle,deyn|ദെയ്ന്,,"{""word_id"": 4405, ""freq"": 333, ""corpus"": ""Matthew (Peshitta NT)"", ""source_vocalised"": ""D'e;N"", ""provenance"": {""headword_bare"": ""SEDRA III WORDS.TXT consonantal; 1:1 Unicode mapping per SEDRA3.DOC"", ""sedra3_vocalised"": ""SEDRA III WORDS.TXT vocalised field, verbatim (abstract 5-vowel ASCII scheme)"", ""headword_eastern"": ""pending fetch from SEDRA IV API (run: python compile.py fetch-vocalised)"", ""headword_western"": ""pending fetch from SEDRA IV API (run: python compile.py fetch-vocalised)"", ""lemma"": ""SEDRA III LEXEMES.TXT"", ""root"": ""SEDRA III ROOTS.TXT"", ""pos"": ""SEDRA III lexeme category bits (SEDRA3.DOC)"", ""morphology"": ""SEDRA III WORDS.TXT feature bits, decoded per SEDRA3.DOC"", ""gloss_en"": ""SEDRA III ENGLISH.TXT (glosses derived from Payne Smith)"", ""gloss_ml"": ""Olam English→Malayalam pivot (ODbL); machine draft, unvalidated"", ""translit_lat"": ""rule table tables/translit_syr_lat.tsv — DRAFT v0, UNVETTED"", ""translit_ml"": ""rule table tables/translit_syr_ml.tsv — DRAFT v0, UNVETTED"", ""example"": ""Peshitta NT (BFBS) via SEDRA III BFBS.TXT; consonantal rendering""}}"
^,,but,english,,default:english,,,,particle,
^,,yet,english,,default:english,,,,particle,
^,,എന്നാല്‍,malayalam,machine draft via Olam key 'but' — unvalidated,,,machine-draft,,conj,
^,,പക്ഷേ,malayalam,machine draft via Olam key 'but' — unvalidated,,,machine-draft,,prep,
^,,മാത്രം,malayalam,machine draft via Olam key 'but' — unvalidated,,,machine-draft,,adv,
-,,ܠܗ,syriac,"entry #10842; suffix, third suffix, masculine suffix, prefix #4; transliterations are DRAFT v0 (unvetted)",,ܠܗ,particle|inflected-form,leh|ലെഹ്,,"{""word_id"": 10842, ""freq"": 244, ""corpus"": ""Matthew (Peshitta NT)"", ""source_vocalised"": ""LeH"", ""provenance"": {""headword_bare"": ""SEDRA III WORDS.TXT consonantal; 1:1 Unicode mapping per SEDRA3.DOC"", ""sedra3_vocalised"": ""SEDRA III WORDS.TXT vocalised field, verbatim (abstract 5-vowel ASCII scheme)"", ""headword_eastern"": ""pending fetch from SEDRA IV API (run: python compile.py fetch-vocalised)"", ""headword_western"": ""pending fetch from SEDRA IV API (run: python compile.py fetch-vocalised)"", ""lemma"": ""SEDRA III LEXEMES.TXT"", ""root"": ""SEDRA III ROOTS.TXT"", ""pos"": ""SEDRA III lexeme category bits (SEDRA3.DOC)"", ""morphology"": ""SEDRA III WORDS.TXT feature bits, decoded per SEDRA3.DOC"", ""gloss_en"": ""SEDRA III ENGLISH.TXT (glosses derived from Payne Smith)"", ""gloss_ml"": ""Olam English→Malayalam pivot (ODbL); machine draft, unvalidated"", ""translit_lat"": ""rule table tables/translit_syr_lat.tsv — DRAFT v0, UNVETTED"", ""translit_ml"": ""rule table tables/translit_syr_ml.tsv — DRAFT v0, UNVETTED"", ""example"": ""Peshitta NT (BFBS) via SEDRA III BFBS.TXT; consonantal rendering""}}"
^,,to,english,,default:english,,,,particle,
^,,for,english,,default:english,,,,particle,
^,,ഇത്രകാലത്തേക്ക്‌,malayalam,machine draft via Olam key 'for' — unvalidated,,,machine-draft,,n,
^,,ഉന്‍മുഖമായി,malayalam,machine draft via Olam key 'for' — unvalidated,,,machine-draft,,a,
^,,ലഭിക്കാനായി,malayalam,machine draft via Olam key 'for' — unvalidated,,,machine-draft,,prep,
-,,ܡܢ,syriac,entry #12182; particle; transliterations are DRAFT v0 (unvetted),,ܡܢ,particle,men|മെന്,,"{""word_id"": 12182, ""freq"": 243, ""corpus"": ""Matthew (Peshitta NT)"", ""source_vocalised"": ""MeN"", ""provenance"": {""headword_bare"": ""SEDRA III WORDS.TXT consonantal; 1:1 Unicode mapping per SEDRA3.DOC"", ""sedra3_vocalised"": ""SEDRA III WORDS.TXT vocalised field, verbatim (abstract 5-vowel ASCII scheme)"", ""headword_eastern"": ""pending fetch from SEDRA IV API (run: python compile.py fetch-vocalised)"", ""headword_western"": ""pending fetch from SEDRA IV API (run: python compile.py fetch-vocalised)"", ""lemma"": ""SEDRA III LEXEMES.TXT"", ""root"": ""SEDRA III ROOTS.TXT"", ""pos"": ""SEDRA III lexeme category bits (SEDRA3.DOC)"", ""morphology"": ""SEDRA III WORDS.TXT feature bits, decoded per SEDRA3.DOC"", ""gloss_en"": ""SEDRA III ENGLISH.TXT (glosses derived from Payne Smith)"", ""gloss_ml"": ""Olam English→Malayalam pivot (ODbL); machine draft, unvalidated"", ""translit_lat"": ""rule table tables/translit_syr_lat.tsv — DRAFT v0, UNVETTED"", ""translit_ml"": ""rule table tables/translit_syr_ml.tsv — DRAFT v0, UNVETTED"", ""example"": ""Peshitta NT (BFBS) via SEDRA III BFBS.TXT; consonantal rendering""}}"
^,,from,english,,default:english,,,,particle,
^,,നിന്ന്‌,malayalam,machine draft via Olam key 'from' — unvalidated,,,machine-draft,,prep,
^,,ഹേതുതവായിട്ടു,malayalam,machine draft via Olam key 'from' — unvalidated,,,machine-draft,,prep,
^,,മുതല്‍,malayalam,machine draft via Olam key 'from' — unvalidated,,,machine-draft,,prep,
