-,,فِى,arabic,entry #1; preposition; transliterations are DRAFT v0 (unvetted),,فى,preposition,fiy|ഫിയ്,,"{""word_id"": 1, ""freq"": 1098, ""corpus"": ""the Qur'an"", ""source_vocalised"": ""fiY"", ""provenance"": {""headword_eastern"": ""QAC 0.4 word form (vocalised Uthmani orthography), Buckwalter→Unicode per verified table"", ""headword_bare"": ""consonantal skeleton of the QAC form (marks and Qur'anic annotation dropped; wasla folded)"", ""sedra3_vocalised"": ""QAC 0.4 word form, extended Buckwalter, verbatim"", ""headword_western"": ""not applicable to the Arabic backbone"", ""lemma"": ""QAC 0.4 LEM (stem segment), Buckwalter→Unicode"", ""root"": ""QAC 0.4 ROOT (stem segment), Buckwalter→Unicode"", ""pos"": ""QAC 0.4 stem tag (readable label per QAC tag set; raw tag kept in morphology)"", ""morphology"": ""QAC 0.4 feature codes, decoded per documented tag set; unrecognised codes kept verbatim"", ""gloss_en"": ""camel_morph MSA v1.0 lexicon (MIT), matched on lemma — cross-resource match, see per-match records"", ""gloss_ml"": ""Olam English→Malayalam pivot (ODbL); machine draft, unvalidated"", ""translit_lat"": ""rule table tables/translit_ara_lat.tsv — DRAFT v0, UNVETTED"", ""translit_ml"": ""rule table tables/translit_ara_ml.tsv — DRAFT v0, UNVETTED"", ""example"": ""Qur'an, first attestation; verse rendered from QAC forms (vocalised), cited sura:aya""}}"
-,,ٱللَّهِ,arabic,entry #2; genitive; transliterations are DRAFT v0 (unvetted),,الله,proper noun,allahi|അല്ലഹി,,"{""word_id"": 2, ""freq"": 828, ""corpus"": ""the Qur'an"", ""source_vocalised"": ""{ll~ahi"", ""provenance"": {""headword_eastern"": ""QAC 0.4 word form (vocalised Uthmani orthography), Buckwalter→Unicode per verified table"", ""headword_bare"": ""consonantal skeleton of the QAC form (marks and Qur'anic annotation dropped; wasla folded)"", ""sedra3_vocalised"": ""QAC 0.4 word form, extended Buckwalter, verbatim"", ""headword_western"": ""not applicable to the Arabic backbone"", ""lemma"": ""QAC 0.4 LEM (stem segment), Buckwalter→Unicode"", ""root"": ""QAC 0.4 ROOT (stem segment), Buckwalter→Unicode"", ""pos"": ""QAC 0.4 stem tag (readable label per QAC tag set; raw tag kept in morphology)"", ""morphology"": ""QAC 0.4 feature codes, decoded per documented tag set; unrecognised codes kept verbatim"", ""gloss_en"": {""source"": ""camel_morph MSA v1.0 lexicon (MIT), matched on lemma — cross-resource match, see per-match records"", ""matches"": [{""lex"": ""اللَّٰه"", ""pos"": ""noun_prop"", ""tier"": ""folded"", ""pos_compatible"": true}, {""lex"": ""اللَّٰه"", ""pos"": ""noun_prop"", ""tier"": ""folded"", ""pos_compatible"": true}, {""lex"": ""اللَّٰه"", ""pos"": ""noun_prop"", ""tier"": ""folded"", ""pos_compatible"": true}]}, ""gloss_ml"": ""Olam English→Malayalam pivot (ODbL); machine draft, unvalidated"", ""translit_lat"": ""rule table tables/translit_ara_lat.tsv — DRAFT v0, UNVETTED"", ""translit_ml"": ""rule table tables/translit_ara_ml.tsv — DRAFT v0, UNVETTED"", ""example"": ""Qur'an, first attestation; verse rendered from QAC forms (vocalised), cited sura:aya""}}"
^,,Allah,english,,default:english,,,,proper noun,
^,,God,english,,default:english,,,,proper noun,
^,,by Allah/God,english,,default:english,,,,proper noun,
^,,to/for Allah/God,english,,default:english,,,,proper noun,
^,,അല്ലാഹു,malayalam,machine draft via Olam key 'allah' — unvalidated,,,machine-draft,,n,
^,,ദൈവം,malayalam,machine draft via Olam key 'god' — unvalidated,,,machine-draft,,n,
^,,ഈശ്വരന്‍,malayalam,machine draft via Olam key 'god' — unvalidated,,,machine-draft,,n,
-,,ٱلَّذِينَ,arabic,"entry #3; masculine, plural; transliterations are DRAFT v0 (unvetted)",,الذين,relative pronoun|inflected-form,allaḏīna|അല്ലദീന,,"{""word_id"": 3, ""freq"": 790, ""corpus"": ""the Qur'an"", ""source_vocalised"": ""{l~a*iyna"", ""provenance"": {""headword_eastern"": ""QAC 0.4 word form (vocalised Uthmani orthography), Buckwalter→Unicode per verified table"", ""headword_bare"": ""consonantal skeleton of the QAC form (marks and Qur'anic annotation dropped; wasla folded)"", ""sedra3_vocalised"": ""QAC 0.4 word form, extended Buckwalter, verbatim"", ""headword_western"": ""not applicable to the Arabic backbone"", ""lemma"": ""QAC 0.4 LEM (stem segment), Buckwalter→Unicode"", ""root"": ""QAC 0.4 ROOT (stem segment), Buckwalter→Unicode"", ""pos"": ""QAC 0.4 stem tag (readable label per QAC tag set; raw tag kept in morphology)"", ""morphology"": ""QAC 0.4 feature codes, decoded per documented tag set; unrecognised codes kept verbatim"", ""gloss_en"": ""camel_morph MSA v1.0 lexicon (MIT), matched on lemma — cross-resource match, see per-match records"", ""gloss_ml"": ""Olam English→Malayalam pivot (ODbL); machine draft, unvalidated"", ""translit_lat"": ""rule table tables/translit_ara_lat.tsv — DRAFT v0, UNVETTED"", ""translit_ml"": ""rule table tables/translit_ara_ml.tsv — DRAFT v0, UNVETTED"", ""example"": ""Qur'an, first attestation; verse rendered from QAC forms (vocalised), cited sura:aya""}}"
